Company,Professional_Fees_Billed,Direct_Consultant_Salaries,Contribution_Margin,Corporate_Overheads,Net_Income,ROI_Metric
Swaraj Engines,1419.24,43.0,1376.24,1188.08,137.87,51.64
ACC,19958.92,737.2,19221.719999999998,16160.059999999998,2336.53,17.27
Thermax,9323.46,1148.29,8175.169999999999,7378.599999999999,643.19,16.91
Thomas Cook (I),7299.35,961.4,6337.950000000001,5902.4800000000005,271.11,19.05
Timex Group,418.91,43.24,375.67,343.27000000000004,20.84,23.95
Tokyo Plast Intl,66.37,13.48,52.89,47.71,1.0,3.32
TPI India,23.75,1.15,22.6,22.400000000000002,0.46,
Transchem,0.41,0.9,-0.49000000000000005,1.25,4.2,7.99
Ambuja Cements,33159.64,1352.79,31806.85,25407.339999999997,4738.01,14.05
Vardhman Hold.,14.9,0.48,14.42,3.8599999999999994,184.87,6.07
Hindalco Inds.,215962.0,14778.0,201184.0,177312.0,10155.0,11.24
West Coast Paper,4447.68,390.68,4057.0000000000005,2965.05,786.08,29.19
MPIL Corporation,0.06,0.33,-0.27,1.15,-0.58,-1.21
Kore Foods,0.0,0.18,-0.18,0.19,-0.38,-321.74
P & G Hygiene,4126.48,207.08,3919.3999999999996,2852.5699999999997,745.2,100.63
Harri. Malayalam,488.12,187.91,300.21000000000004,289.76000000000005,-7.3,5.44
Federal Bank,23565.47,3179.7,20385.77,3846.5800000000017,3964.04,7.56
SKF India,4570.13,343.37,4226.76,3509.17,551.77,29.18
Cummins India,8958.6,779.3,8179.3,6417.92,1660.62,36.12
Tata Comm,20968.82,4452.95,16515.87,12285.769999999999,969.58,17.55
Bajaj Holdings,591.0,57.29,533.71,82.94000000000005,7364.91,13.07
Bharat Forge,15682.07,1860.0,13822.07,11264.13,910.16,13.32
Larsen & Toubro,221112.91,41178.2,179934.71000000002,150069.93000000002,15547.1,13.44
Premier,0.0,0.0,0.0,1.96,-10.41,
B P C L,448083.03,3577.17,444505.86000000004,400423.8300000001,26858.84,32.09
Siemens,19604.2,1854.4,17749.8,15302.199999999999,2317.5,20.66
GE Shipping Co,5255.17,886.25,4368.92,1347.3000000000002,2614.18,20.15
Garware Hi Tech,1677.02,142.67,1534.35,1252.36,203.29,13.89
G S F C,9154.64,849.83,8304.81,7791.65,563.78,5.77
Hind. Unilever,61896.0,3009.0,58887.0,44228.0,10282.0,27.24
Akzo Nobel,3961.6,327.1,3634.5,3002.4,426.7,42.21
Zuari Industries,837.8,97.6,740.1999999999999,688.3599999999999,712.75,4.9
Nestle India,24393.89,2336.06,22057.829999999998,16244.679999999998,3932.84,169.08
Tata Consumer,15205.85,1258.59,13947.26,11663.16,1215.4,10.65
Asian Paints,35494.73,2334.92,33159.810000000005,25574.830000000005,5557.69,37.5
Britannia Inds.,16769.27,708.7,16060.57,12893.92,2134.22,48.92
Colgate-Palmoliv,5680.43,411.73,5268.700000000001,3367.880000000001,1323.66,96.79
ITC,70881.0,6134.35,64746.65,38492.3,20751.36,37.46
Apollo Tyres,25377.72,2964.0,22413.72,17966.38,1721.87,16.39
CEAT,11943.48,845.71,11097.77,9445.54,635.28,20.06
Modi Rubber,22.44,12.69,9.750000000000002,27.93,15.53,4.43
Finolex Inds.,4317.43,211.39,4106.04,3521.19,455.3,11.51
Peoples Invest,0.06,0.01,0.049999999999999996,0.049999999999999996,0.0,0.0
Dalal Street Inv,0.62,0.32,0.3,0.5800000000000001,0.12,2.52
Centrum Capital,2206.81,576.09,1630.7199999999998,678.1299999999998,-71.19,9.21
Kartik Invest.,0.04,0.0,0.04,0.08,-0.01,-0.24
TCI Finance,0.65,0.54,0.10999999999999999,0.72,-0.48,
Kratos Energy,0.0,0.0,0.0,0.5,-0.95,-9.54
Indl. Inv. Trust,36.47,2.71,33.76,-21.72,71.23,14.38
Indl.& Prud.Inv.,6.05,0.03,6.02,0.7699999999999996,49.46,7.23
Tata Inv.Corpn.,385.15,17.83,367.32,15.089999999999975,384.96,1.67
Jayabharat Cred.,0.0,0.0,0.0,1.16,-1.06,
Motor & Gen Fin,6.2,2.5,3.7,3.2800000000000002,1.39,2.29
Walchand People,26.16,13.15,13.01,11.37,3.42,18.66
Shaily Engineer.,643.87,57.3,586.57,469.62000000000006,57.29,13.97
Bombay Cycle,9.2,2.02,7.18,5.279999999999999,3.41,16.81
Greaves Cotton,2633.19,311.18,2322.01,2231.42,-367.27,3.78
Amalgamated Elec,0.01,0.0,0.01,0.12,-0.08,
IndiaNivesh,6.13,0.68,5.45,3.5200000000000005,2.53,3.83
Coastal Corporat,435.56,19.2,416.36,388.1,4.52,4.59
Chowgule Steam,4.09,0.67,3.42,2.41,7.41,10.27
Global Offshore,39.21,5.12,34.09,35.39,37.67,-5.63
Dhenu Buildcon,0.0,0.02,-0.02,0.11,-0.1,-4.32
Asi Industries,144.69,33.38,111.31,91.44,25.11,10.78
Sagar Cements,2504.61,117.88,2386.73,2140.82,-52.05,1.33
Hemadri Cements,55.86,5.87,49.99,60.53,-10.93,-28.5
Deccan Cements,799.43,32.92,766.51,672.7,37.26,7.5
Mangalam Cement,1725.48,128.16,1597.32,1394.8999999999999,59.72,11.92
NCL Industries,1871.35,66.05,1805.3,1597.1799999999998,94.2,15.94
Saurashtra Cem.,1765.16,112.14,1653.02,1523.1599999999999,56.6,12.06
Sh. Digvijay Cem,791.64,40.73,750.91,605.3,87.76,34.09
Borosil Renew.,1369.28,218.24,1151.04,1097.37,-50.28,-3.95
Lerthai Finance,0.0,0.04,-0.04,0.61,0.76,9.94
Raasi Refractor,40.33,0.22,40.11,36.79,0.3,17.6
Triveni Glass,0.0,0.46,-0.46,1.0,2.87,113.33
Nilachal Refract,1.29,0.21,1.08,3.19,-6.5,-2.02
Andhra Paper,1800.58,169.31,1631.27,1200.29,339.74,25.24
Balkrishna Inds,9368.87,500.05,8868.820000000002,6612.700000000002,1471.49,17.62
Orient Paper,831.94,95.92,736.0200000000001,674.9300000000001,6.23,2.29
Citadel Realty,3.17,0.0,3.17,0.2599999999999998,1.14,11.14
Rollatainers,1.18,0.2,0.98,0.45999999999999996,-1.38,3.97
Seshasayee Paper,1801.56,92.88,1708.6799999999998,1368.81,259.37,20.24
Nath Industries,320.95,21.92,299.03,286.38,0.49,2.78
Vapi Enterprise,2.09,0.22,1.8699999999999999,0.44999999999999996,0.83,4.13
DCM,70.84,38.44,32.400000000000006,29.090000000000007,5.2,50.79
Forbes & Co,125.9,14.96,110.94,108.53999999999999,-4.46,11.6
Jamshri Realty,5.39,2.36,3.03,3.78,-3.4,-0.89
Kesoram Inds.,3986.88,228.29,3758.59,3406.87,-384.09,11.0
Peninsula Land,572.04,19.63,552.41,424.35999999999996,128.29,26.56
Phoenix Mills,3977.69,298.95,3678.7400000000002,1501.92,1332.75,12.6
Marathon Nextgen,704.62,15.74,688.88,456.03,168.78,15.88
Raja Bahadur Int,21.23,2.47,18.76,7.190000000000001,1.26,7.77
Simplex Realty,1.76,2.73,-0.97,3.29,5.18,1.96
Swan Energy,5017.15,37.65,4979.5,4111.82,585.97,8.28
Victoria Mills,17.0,1.37,15.629999999999999,15.86,0.73,2.19
Zodiac Vent.,0.69,3.85,-3.16,-13.51,0.51,16.36
Veer Energy,8.62,0.39,8.229999999999999,9.919999999999998,0.33,0.97
SW Investments,0.1,0.01,0.09000000000000001,0.11000000000000001,0.05,0.56
Tilak Ventures,11.95,1.03,10.92,7.59,5.45,9.45
K K Fincorp,0.17,0.12,0.05000000000000002,0.11000000000000001,0.06,0.32
Wagend Infra,1.16,0.23,0.9299999999999999,1.47,-0.01,0.0
Elcid Investment,233.63,0.39,233.24,2.9099999999999966,175.74,2.02
Modipon,0.0,0.25,-0.25,0.32999999999999996,-0.58,
Swadeshi Polytex,99.26,0.07,99.19000000000001,6.750000000000014,82.35,146.6
Bharat Bijlee,1872.48,178.28,1694.2,1522.33,131.44,10.56
Elpro Internatio,256.54,3.01,253.53000000000003,146.24,85.49,7.86
GEE,369.14,19.55,349.59,320.07,12.86,9.27
Hind Rectifiers,517.55,52.35,465.19999999999993,420.94999999999993,12.51,15.72
Indo National,640.6,99.99,540.61,499.91,14.64,8.22
Jyoti,175.35,23.84,151.51,139.69,8.31,4.11
JSL Industries,51.35,8.63,42.72,38.269999999999996,6.16,21.28
Kaycee Inds.,48.81,4.35,44.46,37.68,4.49,24.31
Indokem,164.8,19.14,145.66000000000003,146.67000000000002,-6.23,
Panasonic Energy,292.42,48.31,244.11,227.83,11.64,15.84
NELCO,320.3,43.43,276.87,216.8,23.67,23.37
Permanent Magnet,201.48,11.85,189.63,155.28,20.2,
High Energy Bat.,78.14,17.52,60.620000000000005,37.050000000000004,17.16,27.93
Universal Cables,2020.67,95.19,1925.48,1763.78,108.22,10.03
W S Inds.,326.38,7.46,318.92,277.72,46.95,25.18
Delton Cables,400.86,23.41,377.45,348.71,14.66,18.35
Lak. Electrical,337.97,28.7,309.27000000000004,293.38000000000005,13.96,7.42
Modulex Const.,0.0,2.4,-2.4,3.93,-8.28,-2.47
Delta Manufact.,83.57,29.01,54.55999999999999,56.84999999999999,-10.39,-7.93
Ravindra Energy,130.97,7.12,123.85,90.8,-50.9,12.21
G D Trad&Agency,0.38,0.02,0.36,0.38,-0.02,-5.63
Multipurpose Trd,0.35,0.05,0.3,0.07999999999999999,0.19,4.44
Nyssa Corp.,7.83,0.33,7.5,4.92,2.34,10.64
Flomic Global,332.16,32.62,299.54,268.41,2.19,8.63
Krishna Vent.,2.19,0.12,2.07,2.4499999999999997,-0.47,-4.01
Ganesh Holdings,0.14,0.08,0.06000000000000001,0.11000000000000001,-0.04,-2.48
SJ Corp,15.55,0.32,15.23,15.15,0.01,0.11
Uni Abex Alloy,179.99,12.12,167.87,118.63,35.46,42.79
Bhagwati Auto,134.21,12.13,122.08000000000001,109.18,6.93,22.56
Indian Hume Pipe,1388.63,91.67,1296.96,1124.29,77.63,12.55
Inv.& Prec.Cast.,170.96,9.63,161.33,136.04000000000002,7.79,12.27
Kaira Can,223.84,11.22,212.62,205.35,3.77,6.33
Orient Ceratech,316.98,20.73,296.25,270.22,17.11,7.05
National Standar,21.37,0.1,21.27,17.84,14.74,7.92
Duncan Engg.,65.1,15.03,50.06999999999999,41.25999999999999,6.87,18.37
Sandur Manganese,1252.13,171.31,1080.8200000000002,760.3700000000001,238.01,15.54
Tayo Rolls,0.0,0.0,0.0,0.0,-3.3,-3.48
Chola Financial,25803.52,2994.16,22809.36,8395.77,3850.56,10.73
Welcast Steels,91.07,7.52,83.55,79.31,5.25,18.8
TIL,66.91,31.33,35.58,111.67,253.9,-50.37
Alfred Herbert,1.79,0.45,1.34,1.03,0.67,0.5
Veljan Denison,124.25,10.73,113.52,83.16,20.37,14.17
Dynamatic Tech.,1429.33,301.67,1127.6599999999999,968.2499999999999,121.81,10.66
G G Dandekar,2.96,0.66,2.3,0.9899999999999998,-4.39,-0.8
GMM Pfaudler,3446.48,903.59,2542.89,2066.0899999999997,174.1,19.09
Kirl.Pneumatic,1322.62,163.94,1158.6799999999998,956.3199999999998,133.28,21.64
Tulive Developer,0.0,0.05,-0.05,0.32,-0.93,-1.75
KPT Industries,151.63,14.44,137.19,114.27,12.06,24.46
Lak. Auto. Looms,14.79,5.08,9.709999999999999,6.499999999999999,2.31,13.43
Lynx Machinery,0.0,0.19,-0.19,0.25,-0.54,-9.84
Manugraph India,65.76,23.37,42.39,59.49,-19.86,-16.94
Monotype India,4.58,0.01,4.57,0.8400000000000003,9.27,437.75
NESCO,678.18,27.65,650.53,224.26999999999998,362.78,22.39
Integra Engg.,146.82,16.93,129.89,105.68999999999998,14.52,24.26
Semac Consul,127.49,29.86,97.63,132.35,-31.89,-27.36
Texmaco Infrast.,16.08,11.4,4.679999999999998,6.869999999999997,5.4,0.46
Wendt India,226.83,38.66,188.17000000000002,132.53000000000003,40.95,27.05
PS IT Infra,20.72,0.11,20.61,47.91,-20.43,-60.94
Responsive Ind,1086.97,29.69,1057.28,814.46,161.27,14.73
Shyamkamal Inv,0.0,0.01,-0.01,0.21,-0.21,-10.5
Dolat Algotech,217.36,9.94,207.42000000000002,69.96000000000001,157.33,27.11
Skyline Millars,0.0,0.3,-0.3,1.0999999999999999,-0.99,-3.76
Bimetal Bearings,233.67,27.73,205.94,193.88,8.44,5.43
Brady & Morris,75.21,10.56,64.64999999999999,52.349999999999994,8.41,35.07
Elecon Engg.Co,1937.42,189.32,1748.1000000000001,1273.38,355.58,31.32
Hercules Hoists,179.53,23.15,156.38,127.22,36.02,5.67
Algoquant Fin,64.17,22.08,42.09,26.870000000000005,9.95,22.11
IFB Industries,4311.68,428.64,3883.0400000000004,3675.1300000000006,68.88,12.48
Singer India,425.41,40.55,384.86,383.2,4.5,4.26
Intl. Combustion,296.78,55.84,240.93999999999997,202.61999999999998,19.95,26.42
Josts Engg. Co.,187.44,29.54,157.9,140.18,9.9,25.28
Schaeffler India,7381.73,458.34,6923.389999999999,5576.089999999999,917.33,26.72
Rane Holdings,3529.82,511.32,3018.5,2697.02,149.61,13.0
Rolcon Engg. Co.,51.5,7.7,43.8,40.44,2.91,26.48
SNL Bearings,47.69,9.31,38.379999999999995,28.029999999999994,7.82,18.88
Mangal Credit,33.2,5.16,28.040000000000003,3.580000000000002,10.55,10.26
TRF,139.96,62.24,77.72,42.05,34.6,14.72
WPIL,1664.4,202.99,1461.41,1163.0700000000002,683.77,20.47
Kennametal India,1076.8,149.1,927.6999999999999,768.5999999999999,99.0,17.38
Sudal Industries,144.11,5.17,138.94000000000003,131.66000000000003,121.18,
Arshiya,147.38,18.94,128.44,117.86,-303.65,-2.49
Grindwell Norton,2686.77,325.79,2360.98,1840.83,383.96,24.59
Lak. Prec. Screw,232.24,73.64,158.60000000000002,158.24,-33.15,0.28
Stanrose Mafat.,1.39,0.92,0.46999999999999986,2.1399999999999997,-7.45,-3.85
Pankaj Piyush,0.0,0.65,-0.65,0.62,-4.55,1.99
Apis India,316.11,21.8,294.31,259.94,32.57,16.59
Kanani Industrie,222.81,1.0,221.81,221.29,0.62,1.75
Galaxy Cloud,2.12,1.61,0.51,6.7,-14.23,
Arihant Super.,504.44,25.99,478.45,370.91999999999996,63.62,
Alembic,157.49,23.03,134.46,77.60000000000001,268.62,4.86
Modison,404.56,21.19,383.37,351.4,21.34,12.34
Sashwat Technoc,0.0,0.03,-0.03,0.06,0.1,7.41
Heubach Colorant,790.7,74.87,715.83,643.75,41.14,12.49
Coromandel Inter,22058.39,697.51,21360.88,18988.66,1640.64,26.04
Kemp & Co.,2.95,1.3,1.6500000000000001,2.9400000000000004,-0.25,-0.11
M P Agro Inds.,0.42,0.18,0.24,0.55,0.04,1.02
Sudarshan Chem.,2538.77,209.95,2328.82,2012.41,357.45,11.75
Ultramarine Pig.,525.53,63.05,462.47999999999996,383.09,53.83,8.69
Tuticorin Alkali,320.36,15.38,304.98,229.51000000000002,69.61,146.32
Primo Chemicals,396.98,38.69,358.29,351.36,-25.86,-2.38
Guj. Petrosynth.,13.85,2.65,11.2,12.57,1.66,2.73
Rajas. Petro Syn,0.2,0.08,0.12000000000000001,0.12000000000000001,0.0,
Apt Packaging,12.71,2.26,10.450000000000001,12.21,-2.52,-10.51
Jagatjit Inds.,557.45,72.63,484.82000000000005,467.37000000000006,7.59,10.67
Kesar Enterprise,531.06,36.44,494.61999999999995,470.99999999999994,83.59,3.57
Tilaknagar Inds.,1393.95,46.84,1347.1100000000001,1161.67,138.01,22.28
The Ravalgaon,8.58,2.85,5.73,8.48,17.31,-16.89
Sakthi Sugars,1069.28,62.19,1007.0899999999999,933.0999999999999,129.49,5.79
Walchan. Inds.,302.35,76.19,226.16000000000003,225.08,-41.83,1.29
IFB Agro Inds.,931.63,60.07,871.56,882.05,-8.08,-2.36
Kothari Ferment.,108.88,10.48,98.39999999999999,93.24,-4.91,-0.4
G M Breweries,615.23,14.94,600.29,492.9,151.52,23.53
Rana Sugars,1592.63,67.21,1525.42,1442.64,27.97,6.86
Piccadily Sugar,4.84,0.68,4.16,7.29,-1.9,-20.95
Som Distilleries,1280.67,37.76,1242.91,1093.46,86.5,19.43
Assoc.Alcohols,759.8,36.77,723.03,646.31,50.62,14.47
Foods & Inns,1020.13,41.94,978.19,857.96,36.72,15.13
Kovil. Lak. Rol.,410.91,18.65,392.26000000000005,368.48,7.8,15.8
Milkfood,436.93,25.61,411.32,391.64,7.12,8.19
Polson,96.39,6.84,89.55,73.74,5.2,7.07
Sagar Soya Prod,0.0,0.11,-0.11,0.21000000000000002,0.31,8.82
Orient Beverages,148.69,22.51,126.17999999999999,117.52,0.09,16.02
TTK Healthcare,752.79,132.84,619.9499999999999,582.6199999999999,62.84,8.67
TGV Sraac,1545.95,69.23,1476.72,1343.97,60.72,5.01
Kanpur Plastipa.,497.41,59.63,437.78000000000003,418.05,0.81,4.89
Tainwala Chem.,18.03,1.13,16.900000000000002,17.130000000000003,4.81,5.13
Khaitan Chemical,535.85,33.01,502.84000000000003,533.0300000000001,-70.49,-7.59
Gillette India,2607.19,170.56,2436.63,1840.0800000000002,387.48,52.01
Ansal Housing,464.82,15.4,449.42,380.69,7.93,12.64
Mac Charles(I),11.38,9.99,1.3900000000000006,14.07,-66.18,0.4
Pioneer Invest,35.56,16.28,19.28,8.13,4.07,7.22
Unitech,477.27,39.53,437.74,1204.52,-3807.29,-17.71
V I P Inds.,2244.96,269.78,1975.18,1755.8400000000001,54.3,10.35
LKP Finance,90.13,5.46,84.67,6.530000000000001,59.45,18.17
East Buildtech,0.35,0.04,0.31,0.24,0.0,0.99
Manipal Fin. Cor,0.21,0.08,0.13,0.22,-0.14,
Bajaj Steel Inds,550.96,70.59,480.37,399.87,59.02,23.66
Kiduja India,45.03,0.55,44.480000000000004,0.990000000000002,33.94,62.36
Key Corp,32.0,0.34,31.66,0.33000000000000185,31.57,57.25
Paramount Cosmet,21.81,2.27,19.54,19.09,0.02,5.64
Simm. Marshall,192.04,40.44,151.6,134.2,3.26,9.52
B & A,290.11,89.93,200.18,182.65,13.48,11.63
Hawkins Cookers,1024.15,115.69,908.46,758.26,109.84,44.52
Warren Tea,0.0,2.84,-2.84,1.4000000000000004,0.29,-1.38
Cochin Malabar,0.0,0.01,-0.01,0.1,0.5,65.15
Neelamalai Agro,25.34,17.06,8.280000000000001,12.120000000000001,39.03,8.92
Cosmo First,2587.34,216.95,2370.3900000000003,2187.1200000000003,62.19,6.99
Diamant Infra.,0.0,0.0,0.0,0.26,-0.13,-0.27
Apollo Hospitals,19059.2,2493.7,16565.5,14174.8,935.0,15.55
Nitin Castings,148.75,9.78,138.97,123.6,12.13,24.62
SMIFS Cap. Mkt.,234.1,3.1,231.0,233.2,2.41,2.68
Everest Inds.,1575.45,154.03,1421.42,1380.46,18.0,3.8
Ironwood Educa,4.07,1.66,2.41,2.96,-6.03,-3.87
